Date,Sunrise,Sunset
8/19/16,05:59:43,17:31:49
8/20/16,05:59:00,17:32:03
8/21/16,05:58:17,17:32:17
8/22/16,05:57:33,17:32:30
8/23/16,05:56:48,17:32:44
8/24/16,05:56:03,17:32:57
8/25/16,05:55:17,17:33:09
8/26/16,05:54:31,17:33:22
8/27/16,05:53:44,17:33:34
8/28/16,05:52:56,17:33:46
8/29/16,05:52:08,17:33:58
8/30/16,05:51:20,17:34:10
8/31/16,05:50:31,17:34:22
9/1/16,05:49:42,17:34:33
9/2/16,05:48:52,17:34:44
9/3/16,05:48:02,17:34:55
9/4/16,05:47:11,17:35:06
9/5/16,05:46:21,17:35:17
9/6/16,05:45:29,17:35:28
9/7/16,05:44:38,17:35:39
9/8/16,05:43:46,17:35:49
9/9/16,05:42:54,17:36:00
9/10/16,05:42:02,17:36:10
9/11/16,05:41:09,17:36:20
9/12/16,05:40:17,17:36:31
9/13/16,05:39:24,17:36:41
9/14/16,05:38:31,17:36:51
9/15/16,05:37:38,17:37:02
9/16/16,05:36:44,17:37:12
9/17/16,05:35:51,17:37:23
9/18/16,05:34:58,17:37:33
9/19/16,05:34:04,17:37:44
9/20/16,05:33:11,17:37:55
9/21/16,05:32:18,17:38:05
9/22/16,05:31:25,17:38:16
9/23/16,05:30:31,17:38:27
9/24/16,05:29:38,17:38:38
9/25/16,05:28:45,17:38:50
9/26/16,05:27:53,17:39:01
9/27/16,05:27:00,17:39:13
9/28/16,05:26:08,17:39:25
9/29/16,05:25:15,17:39:37
9/30/16,05:24:24,17:39:50
10/1/16,05:23:32,17:40:02
10/2/16,05:22:41,17:40:15
10/3/16,05:21:50,17:40:29
10/4/16,05:20:59,17:40:42
10/5/16,05:20:09,17:40:56
10/6/16,05:19:19,17:41:10
10/7/16,05:18:29,17:41:25
10/8/16,05:17:40,17:41:40
10/9/16,05:16:52,17:41:55
10/10/16,05:16:04,17:42:11
10/11/16,05:15:17,17:42:27
10/12/16,05:14:30,17:42:44
10/13/16,05:13:44,17:43:01
10/14/16,05:12:58,17:43:18
10/15/16,05:12:13,17:43:36
10/16/16,05:11:29,17:43:55
10/17/16,05:10:45,17:44:13
10/18/16,05:10:02,17:44:33
10/19/16,05:09:20,17:44:53
10/20/16,05:08:39,17:45:13
10/21/16,05:07:58,17:45:34
10/22/16,05:07:18,17:45:55
10/23/16,05:06:39,17:46:17
10/24/16,05:06:01,17:46:40
10/25/16,05:05:24,17:47:03
10/26/16,05:04:48,17:47:27
10/27/16,05:04:13,17:47:51
10/28/16,05:03:38,17:48:15
10/29/16,05:03:05,17:48:41
10/30/16,05:02:33,17:49:07
10/31/16,05:02:02,17:49:33
11/1/16,05:01:31,17:50:00
11/2/16,05:01:02,17:50:27
11/3/16,05:00:34,17:50:56
11/4/16,05:00:07,17:51:24
11/5/16,04:59:41,17:51:53
11/6/16,04:59:17,17:52:23
11/7/16,04:58:53,17:52:53
11/8/16,04:58:31,17:53:24
11/9/16,04:58:10,17:53:55
11/10/16,04:57:50,17:54:27
11/11/16,04:57:31,17:55:00
11/12/16,04:57:14,17:55:32
11/13/16,04:56:58,17:56:06
11/14/16,04:56:43,17:56:39
11/15/16,04:56:29,17:57:13
11/16/16,04:56:17,17:57:48
11/17/16,04:56:06,17:58:23
11/18/16,04:55:56,17:58:58
11/19/16,04:55:48,17:59:34
11/20/16,04:55:41,18:00:10
11/21/16,04:55:35,18:00:46
11/22/16,04:55:30,18:01:23
11/23/16,04:55:27,18:01:59
11/24/16,04:55:25,18:02:36
11/25/16,04:55:25,18:03:14
11/26/16,04:55:26,18:03:51
11/27/16,04:55:28,18:04:29
11/28/16,04:55:31,18:05:06
11/29/16,04:55:36,18:05:44
11/30/16,04:55:42,18:06:22
12/1/16,04:55:49,18:06:59
12/2/16,04:55:58,18:07:37
12/3/16,04:56:07,18:08:15
12/4/16,04:56:19,18:08:52
12/5/16,04:56:31,18:09:30
12/6/16,04:56:44,18:10:07
12/7/16,04:56:59,18:10:44
12/8/16,04:57:15,18:11:21
12/9/16,04:57:32,18:11:57
12/10/16,04:57:50,18:12:33
12/11/16,04:58:10,18:13:09
12/12/16,04:58:30,18:13:44
12/13/16,04:58:52,18:14:19
12/14/16,04:59:15,18:14:54
12/15/16,04:59:38,18:15:28
12/16/16,05:00:03,18:16:01
12/17/16,05:00:29,18:16:34
12/18/16,05:00:55,18:17:06
12/19/16,05:01:23,18:17:38
12/20/16,05:01:51,18:18:09
12/21/16,05:02:21,18:18:39
12/22/16,05:02:51,18:19:08
12/23/16,05:03:22,18:19:37
12/24/16,05:03:53,18:20:05
12/25/16,05:04:26,18:20:31
12/26/16,05:04:59,18:20:57
12/27/16,05:05:33,18:21:23
12/28/16,05:06:07,18:21:47
12/29/16,05:06:42,18:22:10
12/30/16,05:07:17,18:22:32
12/31/16,05:07:53,18:22:53
1/1/17,05:08:30,18:23:13
1/2/17,05:09:07,18:23:32
1/3/17,05:09:44,18:23:50
1/4/17,05:10:22,18:24:07
1/5/17,05:11:00,18:24:23
1/6/17,05:11:38,18:24:37
1/7/17,05:12:16,18:24:51
1/8/17,05:12:55,18:25:03
1/9/17,05:13:34,18:25:14
1/10/17,05:14:13,18:25:23
1/11/17,05:14:52,18:25:32
1/12/17,05:15:31,18:25:39
1/13/17,05:16:11,18:25:45
1/14/17,05:16:50,18:25:50
1/15/17,05:17:29,18:25:53
1/16/17,05:18:08,18:25:56
1/17/17,05:18:47,18:25:57
1/18/17,05:19:26,18:25:56
1/19/17,05:20:05,18:25:55
1/20/17,05:20:43,18:25:52
1/21/17,05:21:21,18:25:48
1/22/17,05:21:59,18:25:42
1/23/17,05:22:37,18:25:35
1/24/17,05:23:15,18:25:27
1/25/17,05:23:52,18:25:18
1/26/17,05:24:29,18:25:08
1/27/17,05:25:05,18:24:56
1/28/17,05:25:41,18:24:43
1/29/17,05:26:17,18:24:29
1/30/17,05:26:52,18:24:13
1/31/17,05:27:27,18:23:56
2/1/17,05:28:02,18:23:38
2/2/17,05:28:36,18:23:19
2/3/17,05:29:09,18:22:59
2/4/17,05:29:42,18:22:38
2/5/17,05:30:15,18:22:15
2/6/17,05:30:47,18:21:51
2/7/17,05:31:18,18:21:27
2/8/17,05:31:49,18:21:01
2/9/17,05:32:20,18:20:34
2/10/17,05:32:50,18:20:06
2/11/17,05:33:19,18:19:37
2/12/17,05:33:48,18:19:07
2/13/17,05:34:17,18:18:36
2/14/17,05:34:44,18:18:03
2/15/17,05:35:12,18:17:31
2/16/17,05:35:39,18:16:57
2/17/17,05:36:05,18:16:22
2/18/17,05:36:31,18:15:46
2/19/17,05:36:56,18:15:10
2/20/17,05:37:21,18:14:32
2/21/17,05:37:45,18:13:54
2/22/17,05:38:09,18:13:15
2/23/17,05:38:32,18:12:35
2/24/17,05:38:55,18:11:55
2/25/17,05:39:17,18:11:14
2/26/17,05:39:39,18:10:32
2/27/17,05:40:00,18:09:49
2/28/17,05:40:21,18:09:06
3/1/17,05:40:41,18:08:22
3/2/17,05:41:01,18:07:38
3/3/17,05:41:21,18:06:53
3/4/17,05:41:40,18:06:08
3/5/17,05:41:59,18:05:22
3/6/17,05:42:18,18:04:35
3/7/17,05:42:36,18:03:48
3/8/17,05:42:54,18:03:01
3/9/17,05:43:11,18:02:13
3/10/17,05:43:28,18:01:25
3/11/17,05:43:45,18:00:37
3/12/17,05:44:02,17:59:48
3/13/17,05:44:18,17:58:59
3/14/17,05:44:34,17:58:10
3/15/17,05:44:50,17:57:20
3/16/17,05:45:06,17:56:31
3/17/17,05:45:21,17:55:41
3/18/17,05:45:36,17:54:51
3/19/17,05:45:51,17:54:00
3/20/17,05:46:06,17:53:10
3/21/17,05:46:21,17:52:20
3/22/17,05:46:36,17:51:29
3/23/17,05:46:50,17:50:39
3/24/17,05:47:05,17:49:48
3/25/17,05:47:19,17:48:58
3/26/17,05:47:33,17:48:07
3/27/17,05:47:47,17:47:17
3/28/17,05:48:01,17:46:26
3/29/17,05:48:16,17:45:36
3/30/17,05:48:30,17:44:46
3/31/17,05:48:44,17:43:56
4/1/17,05:48:58,17:43:07
4/2/17,05:49:12,17:42:17
4/3/17,05:49:26,17:41:28
4/4/17,05:49:40,17:40:39
4/5/17,05:49:55,17:39:50
4/6/17,05:50:09,17:39:01
4/7/17,05:50:24,17:38:13
4/8/17,05:50:38,17:37:26
4/9/17,05:50:53,17:36:38
4/10/17,05:51:08,17:35:51
4/11/17,05:51:23,17:35:05
4/12/17,05:51:38,17:34:18
4/13/17,05:51:53,17:33:33
4/14/17,05:52:09,17:32:48
4/15/17,05:52:24,17:32:03
4/16/17,05:52:40,17:31:19
4/17/17,05:52:56,17:30:35
4/18/17,05:53:12,17:29:52
4/19/17,05:53:29,17:29:10
4/20/17,05:53:45,17:28:28
4/21/17,05:54:02,17:27:47
4/22/17,05:54:19,17:27:06
4/23/17,05:54:37,17:26:26
4/24/17,05:54:54,17:25:47
4/25/17,05:55:12,17:25:08
4/26/17,05:55:30,17:24:31
4/27/17,05:55:48,17:23:54
4/28/17,05:56:07,17:23:17
4/29/17,05:56:26,17:22:42
4/30/17,05:56:45,17:22:07
5/1/17,05:57:04,17:21:34
5/2/17,05:57:24,17:21:01
5/3/17,05:57:43,17:20:28
5/4/17,05:58:03,17:19:57
5/5/17,05:58:24,17:19:27
5/6/17,05:58:44,17:18:57
5/7/17,05:59:05,17:18:28
5/8/17,05:59:26,17:18:01
5/9/17,05:59:47,17:17:34
5/10/17,06:00:08,17:17:08
5/11/17,06:00:29,17:16:43
5/12/17,06:00:51,17:16:19
5/13/17,06:01:13,17:15:56
5/14/17,06:01:35,17:15:34
5/15/17,06:01:57,17:15:13
5/16/17,06:02:19,17:14:53
5/17/17,06:02:42,17:14:34
5/18/17,06:03:04,17:14:16
5/19/17,06:03:27,17:13:59
5/20/17,06:03:50,17:13:43
5/21/17,06:04:12,17:13:28
5/22/17,06:04:35,17:13:14
5/23/17,06:04:58,17:13:01
5/24/17,06:05:21,17:12:50
5/25/17,06:05:44,17:12:39
5/26/17,06:06:06,17:12:29
5/27/17,06:06:29,17:12:20
5/28/17,06:06:52,17:12:12
5/29/17,06:07:14,17:12:05
5/30/17,06:07:36,17:11:59
5/31/17,06:07:59,17:11:54
6/1/17,06:08:21,17:11:50
6/2/17,06:08:43,17:11:48
6/3/17,06:09:04,17:11:46
6/4/17,06:09:26,17:11:45
6/5/17,06:09:47,17:11:45
6/6/17,06:10:07,17:11:45
6/7/17,06:10:28,17:11:47
6/8/17,06:10:48,17:11:50
6/9/17,06:11:08,17:11:54
6/10/17,06:11:27,17:11:58
6/11/17,06:11:46,17:12:03
6/12/17,06:12:05,17:12:10
6/13/17,06:12:23,17:12:17
6/14/17,06:12:40,17:12:24
6/15/17,06:12:57,17:12:33
6/16/17,06:13:13,17:12:42
6/17/17,06:13:29,17:12:53
6/18/17,06:13:44,17:13:03
6/19/17,06:13:59,17:13:15
6/20/17,06:14:13,17:13:27
6/21/17,06:14:26,17:13:40
6/22/17,06:14:39,17:13:53
6/23/17,06:14:50,17:14:08
6/24/17,06:15:01,17:14:22
6/25/17,06:15:12,17:14:38
6/26/17,06:15:21,17:14:53
6/27/17,06:15:30,17:15:10
6/28/17,06:15:38,17:15:26
6/29/17,06:15:45,17:15:44
6/30/17,06:15:51,17:16:01
7/1/17,06:15:56,17:16:19
7/2/17,06:16:00,17:16:38
7/3/17,06:16:04,17:16:57
7/4/17,06:16:06,17:17:16
7/5/17,06:16:07,17:17:35
7/6/17,06:16:08,17:17:55
7/7/17,06:16:08,17:18:15
7/8/17,06:16:06,17:18:35
7/9/17,06:16:04,17:18:55
7/10/17,06:16:00,17:19:16
7/11/17,06:15:56,17:19:36
7/12/17,06:15:50,17:19:57
7/13/17,06:15:44,17:20:18
7/14/17,06:15:36,17:20:39
7/15/17,06:15:27,17:21:00
7/16/17,06:15:18,17:21:21
7/17/17,06:15:07,17:21:42
7/18/17,06:14:55,17:22:03
7/19/17,06:14:42,17:22:24
7/20/17,06:14:29,17:22:45
7/21/17,06:14:14,17:23:06
7/22/17,06:13:58,17:23:27
7/23/17,06:13:41,17:23:48
7/24/17,06:13:22,17:24:08
7/25/17,06:13:03,17:24:29
7/26/17,06:12:43,17:24:49
7/27/17,06:12:22,17:25:09
7/28/17,06:12:00,17:25:29
7/29/17,06:11:36,17:25:49
7/30/17,06:11:12,17:26:08
7/31/17,06:10:47,17:26:28
8/1/17,06:10:21,17:26:47
8/2/17,06:09:53,17:27:06
8/3/17,06:09:25,17:27:24
8/4/17,06:08:56,17:27:43
8/5/17,06:08:26,17:28:01
8/6/17,06:07:55,17:28:19
8/7/17,06:07:23,17:28:36
8/8/17,06:06:50,17:28:54
8/9/17,06:06:16,17:29:11
8/10/17,06:05:41,17:29:27
8/11/17,06:05:06,17:29:44
8/12/17,06:04:30,17:30:00
8/13/17,06:03:52,17:30:16
8/14/17,06:03:14,17:30:32
8/15/17,06:02:36,17:30:47
8/16/17,06:01:56,17:31:02
8/17/17,06:01:16,17:31:17
8/18/17,06:00:35,17:31:32
8/19/17,05:59:53,17:31:46
8/20/17,05:59:11,17:32:00
8/21/17,05:58:27,17:32:14
8/22/17,05:57:44,17:32:27
8/23/17,05:56:59,17:32:41
8/24/17,05:56:14,17:32:54
8/25/17,05:55:28,17:33:06
8/26/17,05:54:42,17:33:19
8/27/17,05:53:55,17:33:31
8/28/17,05:53:08,17:33:44
8/29/17,05:52:20,17:33:55
8/30/17,05:51:32,17:34:07
8/31/17,05:50:43,17:34:19
9/1/17,05:49:54,17:34:30
9/2/17,05:49:04,17:34:42
9/3/17,05:48:14,17:34:53
9/4/17,05:47:24,17:35:04
9/5/17,05:46:33,17:35:15
9/6/17,05:45:42,17:35:25
9/7/17,05:44:50,17:35:36
9/8/17,05:43:59,17:35:47
9/9/17,05:43:07,17:35:57
9/10/17,05:42:14,17:36:08
9/11/17,05:41:22,17:36:18
9/12/17,05:40:29,17:36:28
9/13/17,05:39:37,17:36:39
9/14/17,05:38:44,17:36:49
9/15/17,05:37:51,17:36:59
9/16/17,05:36:57,17:37:10
9/17/17,05:36:04,17:37:20
9/18/17,05:35:11,17:37:31
9/19/17,05:34:17,17:37:41
9/20/17,05:33:24,17:37:52
9/21/17,05:32:31,17:38:03
9/22/17,05:31:38,17:38:14
9/23/17,05:30:44,17:38:25
9/24/17,05:29:51,17:38:36
9/25/17,05:28:58,17:38:47
9/26/17,05:28:05,17:38:59
9/27/17,05:27:13,17:39:10
9/28/17,05:26:20,17:39:22
9/29/17,05:25:28,17:39:34
9/30/17,05:24:36,17:39:47
10/1/17,05:23:44,17:39:59
10/2/17,05:22:53,17:40:12
10/3/17,05:22:02,17:40:25
10/4/17,05:21:11,17:40:39
10/5/17,05:20:21,17:40:53
10/6/17,05:19:31,17:41:07
10/7/17,05:18:41,17:41:21
10/8/17,05:17:52,17:41:36
10/9/17,05:17:04,17:41:52
10/10/17,05:16:16,17:42:07
10/11/17,05:15:28,17:42:23
10/12/17,05:14:41,17:42:40
10/13/17,05:13:55,17:42:57
10/14/17,05:13:09,17:43:14
10/15/17,05:12:24,17:43:32
10/16/17,05:11:39,17:43:50
10/17/17,05:10:56,17:44:09
10/18/17,05:10:12,17:44:28
10/19/17,05:09:30,17:44:48
10/20/17,05:08:49,17:45:08
10/21/17,05:08:08,17:45:29
10/22/17,05:07:28,17:45:50
10/23/17,05:06:49,17:46:12
10/24/17,05:06:10,17:46:34
10/25/17,05:05:33,17:46:57
10/26/17,05:04:57,17:47:21
10/27/17,05:04:21,17:47:45
10/28/17,05:03:47,17:48:09
10/29/17,05:03:13,17:48:34
10/30/17,05:02:41,17:49:00
10/31/17,05:02:09,17:49:26
11/1/17,05:01:39,17:49:53
11/2/17,05:01:09,17:50:21
11/3/17,05:00:41,17:50:49
11/4/17,05:00:14,17:51:17
11/5/17,04:59:48,17:51:46
11/6/17,04:59:23,17:52:16
11/7/17,04:58:59,17:52:46
11/8/17,04:58:36,17:53:17
11/9/17,04:58:15,17:53:48
11/10/17,04:57:55,17:54:19
11/11/17,04:57:36,17:54:52
11/12/17,04:57:18,17:55:24
11/13/17,04:57:02,17:55:57
11/14/17,04:56:46,17:56:31
11/15/17,04:56:32,17:57:05
11/16/17,04:56:20,17:57:39
11/17/17,04:56:08,17:58:14
11/18/17,04:55:58,17:58:49
11/19/17,04:55:50,17:59:25
11/20/17,04:55:42,18:00:01
11/21/17,04:55:36,18:00:37
11/22/17,04:55:31,18:01:14
11/23/17,04:55:28,18:01:50
11/24/17,04:55:26,18:02:27
11/25/17,04:55:25,18:03:04
11/26/17,04:55:25,18:03:42
11/27/17,04:55:27,18:04:19
11/28/17,04:55:30,18:04:57
11/29/17,04:55:34,18:05:35
11/30/17,04:55:40,18:06:12
12/1/17,04:55:47,18:06:50
12/2/17,04:55:55,18:07:28
12/3/17,04:56:05,18:08:05
12/4/17,04:56:16,18:08:43
12/5/17,04:56:28,18:09:20
12/6/17,04:56:41,18:09:58
12/7/17,04:56:55,18:10:35
12/8/17,04:57:11,18:11:12
12/9/17,04:57:28,18:11:48
12/10/17,04:57:46,18:12:24
12/11/17,04:58:05,18:13:00
12/12/17,04:58:25,18:13:36
12/13/17,04:58:47,18:14:11
12/14/17,04:59:09,18:14:45
12/15/17,04:59:32,18:15:19
12/16/17,04:59:57,18:15:53
12/17/17,05:00:22,18:16:26
12/18/17,05:00:49,18:16:58
12/19/17,05:01:16,18:17:30
12/20/17,05:01:44,18:18:01
12/21/17,05:02:13,18:18:31
12/22/17,05:02:43,18:19:01
12/23/17,05:03:14,18:19:30
12/24/17,05:03:45,18:19:58
12/25/17,05:04:18,18:20:25
12/26/17,05:04:51,18:20:51
12/27/17,05:05:24,18:21:16
12/28/17,05:05:58,18:21:41
12/29/17,05:06:33,18:22:04
12/30/17,05:07:09,18:22:27
12/31/17,05:07:45,18:22:48
,05:08:21,18:23:08
